18024b320	unicode	norwegian-bokmal
18024b348	unicode	norwegian-nynorsk
18024b370	unicode	portuguese-brazilian
18024b3a0	unicode	spanish-argentina
18024b3c8	unicode	spanish-bolivia
18024b3e8	unicode	spanish-chile
18024b408	unicode	spanish-colombia
18024b430	unicode	spanish-costa rica
18024b458	unicode	spanish-dominican republic
18024b490	unicode	spanish-ecuador
18024b4b0	unicode	spanish-el salvador
18024b4d8	unicode	spanish-guatemala
18024b500	unicode	spanish-honduras
18024b528	unicode	spanish-mexican
18024b548	unicode	spanish-modern
18024b568	unicode	spanish-nicaragua
18024b590	unicode	spanish-panama
18024b5b0	unicode	spanish-paraguay
18024b5d8	unicode	spanish-peru
18024b5f8	unicode	spanish-puerto rico
18024b620	unicode	spanish-uruguay
18024b640	unicode	spanish-venezuela
18024b668	unicode	swedish-finland
18024b688	unicode	swiss
18024b6b0	unicode	america
18024b6c0	unicode	britain
18024b6d0	unicode	china
18024b6f0	unicode	england
18024b700	unicode	great britain
18024b720	unicode	holland
18024b730	unicode	hong-kong
18024b748	unicode	new-zealand
18024b768	unicode	pr china
18024b780	unicode	pr-china
18024b798	unicode	puerto-rico
18024b7c0	unicode	south africa
18024b7e0	unicode	south korea
18024b7f8	unicode	south-africa
18024b818	unicode	south-korea
18024b830	unicode	trinidad & tobago
18024b858	unicode	united-kingdom
18024b878	unicode	united-states
18024b898	unicode	utf8
18024b8b0	unicode	utf-8
18024c980	unicode	de-DE
18024cb00	unicode	sl-SI
18024cc08	unicode	hi-IN
18024cca0	unicode	bn-IN
18024ccb0	unicode	pa-IN
18024ccd0	unicode	ta-IN
18024cce0	unicode	te-IN
18024ccf0	unicode	kn-IN
18024cd20	unicode	sa-IN
18024cdd0	unicode	de-CH
18024ce50	unicode	sr-SP-Latn
18024ce90	unicode	se-SE
18024cef8	unicode	de-AT
18024cf38	unicode	sr-SP-Cyrl
18024cfc0	unicode	fr-CH
18024d010	unicode	de-LI
18024d050	unicode	bs-BA-Latn
18024d0b8	unicode	sr-BA-Latn
18024e2d0	unicode	bn-in
18024e2e0	unicode	bs-ba-latn
18024e338	unicode	de-at
18024e348	unicode	de-ch
18024e358	unicode	de-de
18024e368	unicode	de-li
18024e618	unicode	fr-ch
18024e688	unicode	hi-in
18024e748	unicode	kn-in
18024e878	unicode	pa-in
18024e908	unicode	sa-in
18024e938	unicode	se-se
18024e958	unicode	sl-si
18024e9f0	unicode	sr-ba-latn
18024ea08	unicode	sr-sp-cyrl
18024ea20	unicode	sr-sp-latn
18024ea78	unicode	ta-in
18024ea88	unicode	te-in
18024ebc8	string	1#INF
18024ebd0	string	1#QNAN
18024ebd8	string	1#SNAN
18024ebe0	string	1#IND
18024ebe8	unicode	CONOUT$
180251574	string	.rdata
1802515c0	string	.rdata$voltmd
1802516e8	string	.data
18025172c	string	.pdata
18025173c	string	.fptable
18026e98a	TerminatedCString	MessageBoxW
18026e998	TerminatedCString	GetSystemMetrics
18026e9ac	TerminatedCString	GetClientRect
18026e9bc	TerminatedCString	SetWindowsHookExW
18026e9d0	TerminatedCString	CallNextHookEx
18026e9e2	TerminatedCString	UnhookWindowsHookEx
18026e9f8	TerminatedCString	GetAsyncKeyState
18026ea0c	TerminatedCString	GetKeyboardState
18026ea20	TerminatedCString	GetCursorPos
18026ea30	TerminatedCString	MapVirtualKeyExW
18026ea44	TerminatedCString	ToUnicodeEx
18026ea52	TerminatedCString	GetKeyState
18026ea60	TerminatedCString	GetKeyboardLayout
18026ea74	TerminatedCString	MapVirtualKeyW
18026ea86	TerminatedCString	GetKeyNameTextW
18026ea98	TerminatedCString	IsWindow
18026eaa4	TerminatedCString	EnumWindows
18026eab2	TerminatedCString	GetClassNameW
18026eac2	TerminatedCString	IsWindowVisible
18026ead4	TerminatedCString	EnumChildWindows
18026eae8	TerminatedCString	GetWindowThreadProcessId
18026eb04	TerminatedCString	GetForegroundWindow
18026eb1a	TerminatedCString	AttachThreadInput
18026eb2e	TerminatedCString	ScreenToClient
18026eb40	TerminatedCString	wsprintfW
18026eb4a	TerminatedCString	USER32.dll
18026eb58	TerminatedCString	SHGetKnownFolderPath
18026eb6e	TerminatedCString	SHELL32.dll
18026eb7c	TerminatedCString	CoTaskMemFree
18026eb8c	TerminatedCString	CoInitializeEx
18026eb9e	TerminatedCString	CoCreateInstance
18026ebb0	TerminatedCString	ole32.dll
18026ebbc	TerminatedCString	PlaySoundW
18026ebc8	TerminatedCString	WINMM.dll
18026ebd4	TerminatedCString	DWriteCreateFactory
18026ebe8	TerminatedCString	DWrite.dll
18026ebf6	TerminatedCString	D3D11CreateDevice
18026ec08	TerminatedCString	d3d11.dll
18026ec14	TerminatedCString	CreateDXGIFactory1
18026ec28	TerminatedCString	dxgi.dll
18026ec34	TerminatedCString	D3DCompile
18026ec40	TerminatedCString	D3DCOMPILER_47.dll
18026ec56	TerminatedCString	GetModuleFileNameW
18026ec6c	TerminatedCString	Sleep
18026ec74	TerminatedCString	GetCurrentProcessId
18026ec8a	TerminatedCString	Thread32First
18026ec9a	TerminatedCString	Thread32Next
18026ecaa	TerminatedCString	CloseHandle
18026ecb8	TerminatedCString	GetTickCount64
18026ecca	TerminatedCString	CreateToolhelp32Snapshot
18026ece6	TerminatedCString	GetCurrentThreadId
18026ecfc	TerminatedCString	WideCharToMultiByte
18026ed12	TerminatedCString	GetSystemInfo
18026ed22	TerminatedCString	VirtualAlloc
18026ed32	TerminatedCString	GetModuleHandleExW
18026ed48	TerminatedCString	FindResourceW
18026ed58	TerminatedCString	SizeofResource
18026ed6a	TerminatedCString	LoadResource
18026ed7a	TerminatedCString	LockResource
18026ed8a	TerminatedCString	QueryPerformanceCounter
18026eda4	TerminatedCString	QueryPerformanceFrequency
18026edc0	TerminatedCString	AddVectoredExceptionHandler
18026edde	TerminatedCString	RtlCaptureStackBackTrace
18026edfa	TerminatedCString	RemoveVectoredExceptionHandler
18026ee1c	TerminatedCString	OutputDebugStringA
18026ee32	TerminatedCString	VirtualQuery
18026ee42	TerminatedCString	VirtualProtect
18026ee54	TerminatedCString	GetCurrentProcess
18026ee68	TerminatedCString	FlushInstructionCache
18026ee80	TerminatedCString	GetModuleHandleW
18026ee94	TerminatedCString	K32GetModuleInformation
18026eeae	TerminatedCString	GetProcAddress
18026eec0	TerminatedCString	GetEnvironmentVariableW
18026eeda	TerminatedCString	FindFirstFileW
18026eeec	TerminatedCString	FindNextFileW
18026eefc	TerminatedCString	GetFileAttributesW
18026ef12	TerminatedCString	FindClose
18026ef1e	TerminatedCString	CreateFileW
18026ef2c	TerminatedCString	GetFileSizeEx
18026ef3c	TerminatedCString	ReadFile
18026ef48	TerminatedCString	DisableThreadLibraryCalls
18026ef64	TerminatedCString	CreateThread
18026ef74	TerminatedCString	ExitThread
18026ef82	TerminatedCString	FreeLibraryAndExitThread
18026ef9e	TerminatedCString	HeapCreate
18026efac	TerminatedCString	HeapFree
18026efb8	TerminatedCString	HeapDestroy
18026efc6	TerminatedCString	OpenThread
18026efd4	TerminatedCString	ResumeThread
18026efe4	TerminatedCString	HeapReAlloc
18026eff2	TerminatedCString	HeapAlloc
18026effe	TerminatedCString	GetLastError
18026f00e	TerminatedCString	SuspendThread
18026f01e	TerminatedCString	GetThreadContext
18026f032	TerminatedCString	SetThreadContext
18026f046	TerminatedCString	VirtualFree
18026f052	TerminatedCString	KERNEL32.dll
18026f062	TerminatedCString	ReleaseSRWLockExclusive
18026f07c	TerminatedCString	AcquireSRWLockExclusive
18026f096	TerminatedCString	WakeAllConditionVariable
18026f0b2	TerminatedCString	SleepConditionVariableSRW
18026f0ce	TerminatedCString	RtlCaptureContext
18026f0e2	TerminatedCString	RtlLookupFunctionEntry
18026f0fc	TerminatedCString	RtlVirtualUnwind
18026f110	TerminatedCString	UnhandledExceptionFilter
18026f12c	TerminatedCString	SetUnhandledExceptionFilter
18026f14a	TerminatedCString	TerminateProcess
18026f15e	TerminatedCString	IsProcessorFeaturePresent
18026f17a	TerminatedCString	IsDebuggerPresent
18026f18e	TerminatedCString	GetStartupInfoW
18026f1a0	TerminatedCString	GetSystemTimeAsFileTime
18026f1ba	TerminatedCString	InitializeSListHead
18026f1d0	TerminatedCString	CreateDirectoryW
18026f1e4	TerminatedCString	FindFirstFileExW
18026f1f8	TerminatedCString	GetFileAttributesExW
18026f210	TerminatedCString	SetFileInformationByHandle
18026f22e	TerminatedCString	GetTempPathW
18026f23e	TerminatedCString	AreFileApisANSI
18026f250	TerminatedCString	GetFileInformationByHandleEx
18026f270	TerminatedCString	MultiByteToWideChar
18026f286	TerminatedCString	LocalFree
18026f292	TerminatedCString	FormatMessageA
18026f2a4	TerminatedCString	GetLocaleInfoEx
18026f2b6	TerminatedCString	TryAcquireSRWLockExclusive
18026f2d4	TerminatedCString	ReleaseSRWLockShared
18026f2ec	TerminatedCString	AcquireSRWLockShared
18026f304	TerminatedCString	SetLastError
18026f314	TerminatedCString	LoadLibraryExW
18026f326	TerminatedCString	GetStringTypeW
18026f338	TerminatedCString	EncodePointer
18026f348	TerminatedCString	DecodePointer
18026f358	TerminatedCString	EnterCriticalSection
18026f370	TerminatedCString	LeaveCriticalSection
18026f388	TerminatedCString	InitializeCriticalSectionEx
18026f3a6	TerminatedCString	DeleteCriticalSection
18026f3be	TerminatedCString	LCMapStringEx
18026f3ce	TerminatedCString	GetCPInfo
18026f3da	TerminatedCString	RtlUnwindEx
18026f3e8	TerminatedCString	RtlPcToFileHeader
18026f3fc	TerminatedCString	RaiseException
18026f40e	TerminatedCString	InterlockedFlushSList
18026f426	TerminatedCString	InitializeCriticalSectionAndSpinCount
18026f44e	TerminatedCString	TlsAlloc
18026f45a	TerminatedCString	TlsGetValue
18026f468	TerminatedCString	TlsSetValue
18026f476	TerminatedCString	TlsFree
18026f480	TerminatedCString	FreeLibrary
18026f48e	TerminatedCString	ExitProcess
18026f49c	TerminatedCString	WriteFile
18026f4a8	TerminatedCString	GetConsoleOutputCP
18026f4be	TerminatedCString	GetConsoleMode
18026f4d0	TerminatedCString	SetFilePointerEx
18026f4e4	TerminatedCString	FlsAlloc
18026f4f0	TerminatedCString	FlsGetValue
18026f4fe	TerminatedCString	FlsSetValue
18026f50c	TerminatedCString	FlsFree
18026f516	TerminatedCString	GetDateFormatW
18026f528	TerminatedCString	GetTimeFormatW
18026f53a	TerminatedCString	CompareStringW
18026f54c	TerminatedCString	LCMapStringW
18026f55c	TerminatedCString	GetLocaleInfoW
18026f56e	TerminatedCString	IsValidLocale
18026f57e	TerminatedCString	GetUserDefaultLCID
18026f594	TerminatedCString	EnumSystemLocalesW
18026f5aa	TerminatedCString	GetStdHandle
18026f5ba	TerminatedCString	GetFileType
18026f5c8	TerminatedCString	ReadConsoleW
